ARMAZÉM,Local físico de estocagem e gestão de materiais
GESTÃO,Conjunto de práticas para otimizar processos
ESTOQUE,Produtos armazenados que representam capital parado
ENTREGA,Etapa final da logística até o cliente
TRANSPORTE,Movimentação física de cargas entre pontos
LOGÍSTICA,Planejamento e controle do fluxo de materiais
PRODUÇÃO,Transformação de matéria-prima em produto
VAREJO,Venda direta ao consumidor final
DEMANDA,A procura por determinado produto no mercado
FORNECEDOR,Parceiro que abastece a empresa com insumos
INVENTÁRIO,Contagem física e conferência do estoque
CUSTO,Despesas relacionadas à produção e operação
MÁQUINAS,Equipamentos utilizados no processo de produção
MARKETING,Estratégias para promover e vender produtos
PARETO,Princípio onde 80% dos efeitos vêm de 20% das causas
QUALIDADE,Conformidade do produto com padrões estabelecidos
FERRAMENTAS,Instrumentos para melhorar a eficiência administrativa
EFICIÊNCIA,Uso racional dos recursos para atingir objetivos
EQUIPE,Conjunto de pessoas trabalhando por metas comuns
ORÇAMENTO,Planejamento financeiro de receitas e despesas
COMPRAS,Aquisição de materiais necessários para a operação
DESEMPENHO,Resultados obtidos por meio de um processo
PLANEJAMENTO,Definição de metas e estratégias futuras
LIQUIDEZ,Capacidade de converter ativos em dinheiro
INOVAÇÃO,Introdução de novidades que geram valor
CONFORMIDADE,Adequação a regulamentos e leis do setor
LIDERANÇA,Capacidade de influenciar pessoas para objetivos
SINERGIA,Cooperação onde o todo supera a soma das partes
LUCRO,Ganho financeiro obtido após deduzir as despesas
AUDITORIA,Exame sistemático das atividades e registros
TREINAMENTO,Capacitação para desenvolver novas habilidades
RECRUTAMENTO,Processo de atração de candidatos para vagas
HIERARQUIA,Estrutura de níveis de autoridade na empresa
ORGANOGRAMA,Gráfico que representa a estrutura da empresa
ESTRATÉGIA,Plano de ação para atingir metas de longo prazo
NEGOCIAÇÃO,Processo de acordo entre diferentes partes
FEEDBACK,Retorno sobre o desempenho ou comportamento
PROCESSOS,Sequência de tarefas lógicas para gerar resultados
ÉTICA,Princípios morais na conduta dos negócios
SUSTENTABILIDADE,Gestão que equilibra lucro e meio ambiente
MERCADO,Ambiente onde ocorrem as trocas comerciais
CONCORRÊNCIA,Disputa entre empresas pelo mesmo público
CAPITAL,Recursos financeiros disponíveis para investimento
INVESTIMENTO,Aplicação de recursos visando retorno futuro
EXPORTAÇÃO,Venda de produtos ou serviços para outros países
ECONOMIA,Ciência que estuda produção e distribuição de bens
